
1	지수함수의 정의는 무엇입니까?	
指数関数の定義は何ですか？ 指数関数は一般的に f(x) = a^x という形で表されます。	
"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"	"a) y = x^a
b) y = a^x
c) y = log_a x
d) y = x * a"
2	로그 함수가 유용한 이유 중 하나는 무엇입니까?	対数関数が有用な理由の1つは何ですか？ 対数関数は複雑な計算を単純化できる特性を持っています。	"a) 곱셈을 덧셈으로 변환
b) 덧셈을 곱셈으로 변환
c) 곱셈을 나눗셈으로 변환
d) 나눗셈을 곱셈으로 변환"	"a) 掛け算を足し算に変換
b) 足し算を掛け算に変換
c) 掛け算を割り算に変換
d) 割り算を掛け算に変換"
3	자연로그의 밑은 무엇입니까?	自然対数の底は何ですか？ 自然対数はeを底とする対数です。	"a) 2
b) 10
c) e
d) π"	"a) 2
b) 10
c) e
d) π"
4	삼각함수에서 각도의 단위는 무엇입니까?	三角関数において角度の単位は何ですか？ 角度の単位には通常、度（degree）とラジアン（radian）が使用されます。	"a) 도 (degree)
b) 라디안 (radian)
c) 두 가지 모두
d) 둘 다 아님"	"a) 度 (degree)
b) ラジアン (radian)
c) 両方
d) どちらでもない"
5	삼각함수 sin, cos, tan의 정의는 무엇입니까?	三角関数のsin, cos, tanの定義は何ですか？ 三角形において、sin, cos, tanは角度の比率として定義されます。	"a) sin = 높이 / 빗변, cos = 밑변 / 빗변, tan = 높이 / 밑변
b) sin = 밑변 / 높이, cos = 빗변 / 높이, tan = 빗변 / 밑변
c) sin = 빗변 / 높이, cos = 높이 / 밑변, tan = 밑변 / 높이
d) sin = 높이 / 밑변, cos = 밑변 / 높이, tan = 높이 / 빗변"	"a) sin = 高さ / 斜辺, cos = 底辺 / 斜辺, tan = 高さ / 底辺
b) sin = 底辺 / 高さ, cos = 斜辺 / 高さ, tan = 斜辺 / 底辺
c) sin = 斜辺 / 高さ, cos = 高さ / 底辺, tan = 底辺 / 高さ
d) sin = 高さ / 底辺, cos = 底辺 / 高さ, tan = 高さ / 斜辺"
6	지수 함수가 적용되는 실생활 예는 무엇입니까?	指数関数が適用される実生活の例は何ですか？ 人口増加や金融計算などに指数関数が適用されます。	"a) 물리적 이동 계산
b) 열전달 계산
c) 신호 처리
d) 데이터 분석"	"a) 物理的移動計算
b) 熱伝達計算
c) 信号処理
d) データ分析"
7	로그 함수의 특징 중 하나는 무엇입니까?	対数関数の特徴の1つは何ですか？ 対数関数は大きな数を小さくすることができます。	"a) 수를 확대함
b) 수를 줄임
c) 수를 곱함
d) 수를 나눔"	"a) 数を拡大
b) 数を縮小
c) 数を掛ける
d) 数を割る"
8	삼각 함수의 주기는 무엇입니까?	三角関数の周期は何ですか？ 三角関数は一定の周期を持っています。	"a) 180도
b) 90도
c) 360도
d) 45도"	"a) 180度
b) 90度
c) 360度
d) 45度"
9	로그함수의 활용 예로 적합한 것은 무엇입니까?	対数関数の活用例として適切なのは何ですか？ 対数関数はデータ分析で主に使用されます。	"a) 온도 측정
b) 소리 측정
c) 데이터 분석
d) 교통량 분석"	"a) 温度測定
b) 音の測定
c) データ分析
d) 交通量分析"
